Feature,Importance
 Destination Port,0.26366044631682917
 Init_Win_bytes_backward,0.12607782975893558
Bwd Packet Length Max,0.07778608210493539
 Fwd Packet Length Max,0.07695255683634172
 Bwd IAT Mean,0.06296116309268246
 min_seg_size_forward,0.05811826804928676
Init_Win_bytes_forward,0.04980054336589437
 Fwd IAT Min,0.04885628133845147
 Flow IAT Std,0.0454016527283479
 Total Fwd Packets,0.03675050642106099
Active Mean,0.03462082717149645
Total Length of Fwd Packets,0.023652610041354473
 Flow IAT Min,0.02224471322064025
 Flow IAT Mean,0.012768107358438616
 Flow Duration,0.012113369262887912
